0,﻿27.557111,53.908285,"2019-03-22T03:27:35"
1,27.5563,53.9074,"2019-03-22T03:27:36"
2,27.5558,53.9069,"2019-03-22T03:27:37"
3,27.5552,53.9063,"2019-03-22T03:27:38"
4,27.5548,53.9060,"2019-03-22T03:27:39"
5,27.5541,53.9056,"2019-03-22T03:27:40"
6,27.5530,53.9049,"2019-03-22T03:27:41"
7,27.5522,53.9045,"2019-03-22T03:27:42"
8,27.5514,53.9037,"2019-03-22T03:27:43"
9,27.5503,53.9033,"2019-03-22T03:27:44"
10,27.5502,53.9030,"2019-03-22T03:27:45"
11,27.5495,53.9026,"2019-03-22T03:27:46"
12,27.5492,53.9023,"2019-03-22T03:27:47"
13,27.5486,53.9018,"2019-03-22T03:27:48"
14,27.5483,53.9016,"2019-03-22T03:27:49"
15,27.5477,53.9012,"2019-03-22T03:27:50"
16,27.5471,53.9009,"2019-03-22T03:27:51"
17,27.5474,53.9007,"2019-03-22T03:27:52"
18,27.5481,53.9009,"2019-03-22T03:27:53"
19,27.5476,53.9010,"2019-03-22T03:27:54"
20,27.5470,53.9005,"2019-03-22T03:27:55"
21,27.5467,53.9005,"2019-03-22T03:27:56"
22,27.5456,53.8999,"2019-03-22T03:27:57"
23,27.5441,53.8996,"2019-03-22T03:27:58"
24,27.5438,53.8992,"2019-03-22T03:27:59"
25,27.5432,53.8988,"2019-03-22T03:28:00"
26,27.5433,53.8983,"2019-03-22T03:28:01"
27,27.5417,53.8981,"2019-03-22T03:28:02"
28,27.5404,53.8977,"2019-03-22T03:28:03"
29,27.5366,53.8957,"2019-03-22T03:28:04"
30,27.5350,53.8951,"2019-03-22T03:28:05"
31,27.5342,53.8949,"2019-03-22T03:28:06"
32,27.5328,53.8944,"2019-03-22T03:28:07"
33,27.5313,53.8940,"2019-03-22T03:28:08"
34,27.5296,53.8935,"2019-03-22T03:28:09"
35,27.5265,53.8919,"2019-03-22T03:28:10"
36,27.5247,53.8910,"2019-03-22T03:28:11"
37,27.5235,53.8904,"2019-03-22T03:28:12"
38,27.5215,53.8893,"2019-03-22T03:28:13"
39,27.5199,53.8887,"2019-03-22T03:28:14"
40,27.5189,53.8883,"2019-03-22T03:28:15"
41,27.5157,53.8871,"2019-03-22T03:28:16"
42,27.5139,53.8864,"2019-03-22T03:28:17"
43,27.5125,53.8859,"2019-03-22T03:28:18"
44,27.5066,53.8837,"2019-03-22T03:28:19"
45,27.5053,53.8838,"2019-03-22T03:28:20"
46,27.5050,53.8834,"2019-03-22T03:28:21"
47,27.5048,53.8830,"2019-03-22T03:28:22"
48,27.5054,53.8830,"2019-03-22T03:28:23"
49,27.5042,53.8827,"2019-03-22T03:28:24"
50,27.5021,53.8819,"2019-03-22T03:28:25"
51,27.5008,53.8812,"2019-03-22T03:28:26"
52,27.4984,53.8793,"2019-03-22T03:28:27"
53,27.4978,53.8779,"2019-03-22T03:28:28"
54,27.4972,53.8773,"2019-03-22T03:28:29"
55,27.4968,53.8766,"2019-03-22T03:28:30"
56,27.4961,53.8756,"2019-03-22T03:28:31"
57,27.4956,53.8748,"2019-03-22T03:28:32"
58,27.4951,53.8740,"2019-03-22T03:28:33"
59,27.4945,53.8731,"2019-03-22T03:28:34"
60,27.4940,53.8722,"2019-03-22T03:28:35"
61,27.4926,53.8702,"2019-03-22T03:28:36"
62,27.4905,53.8683,"2019-03-22T03:28:37"
63,27.4879,53.8661,"2019-03-22T03:28:38"
64,27.4865,53.8652,"2019-03-22T03:28:39"
65,27.4860,53.8645,"2019-03-22T03:28:40"
66,27.48625875,53.86465039,"2019-03-22T03:28:41"
